##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
668.3838, 85.16587
668.8659, 85.04725
669.3480, 84.82739
669.8301, 84.51014
670.3123, 84.37867
670.7944, 84.45444
671.2765, 84.55172
671.7586, 84.43107
672.2407, 84.22020
672.7228, 84.25066
673.2050, 84.60584
673.6871, 84.94370
674.1692, 84.93841
674.6513, 84.80184
675.1334, 84.78890
675.6155, 85.12086
676.0977, 85.34097
676.5798, 85.29931
677.0619, 85.09702
677.5440, 84.86608
678.0261, 84.52658
678.5082, 84.33984
678.9904, 84.37930
679.4725, 84.58058
679.9546, 84.80952
680.4367, 85.06413
680.9188, 85.26934
681.4009, 85.38245
681.8831, 85.43234
682.3652, 85.40429
682.8473, 85.33347
683.3294, 85.39366
683.8115, 85.94523
684.2936, 86.46730
684.7758, 86.50311
685.2579, 86.02872
685.7400, 85.66854
686.2221, 85.57296
686.7042, 85.65146
687.1863, 85.91328
687.6685, 86.47529
688.1506, 86.63982
688.6327, 86.21539
689.1148, 85.78517
689.5969, 85.97995
690.0790, 86.74611
690.5612, 87.23406
691.0433, 87.33643
691.5254, 87.25792
692.0075, 87.13358
692.4896, 87.01314
692.9717, 87.00296
693.4539, 87.19048
693.9360, 87.37626
694.4181, 87.43901
694.9002, 87.42715
695.3823, 87.41601
695.8644, 87.44425
696.3466, 87.44678
696.8287, 87.37914
697.3108, 87.29198
697.7929, 87.33187
698.2750, 87.53870
698.7571, 87.73658
699.2393, 87.88696
699.7214, 87.98106
700.2035, 87.92916
700.6856, 87.75551
701.1677, 87.67374
701.6498, 87.96450
702.1320, 88.31702
702.6141, 88.30593
703.0962, 87.96829
703.5783, 87.71968
704.0604, 87.71315
704.5425, 87.87761
705.0247, 88.26756
705.5068, 88.98728
705.9889, 89.29136
706.4710, 88.91496
706.9531, 88.46008
707.4352, 88.32173
707.9174, 88.52734
708.3995, 88.78457
708.8816, 89.12707
709.3637, 89.33891
709.8458, 89.01110
710.3279, 88.39221
710.8101, 88.12840
711.2922, 88.39055
711.7743, 88.77467
712.2564, 89.06806
712.7385, 89.27237
713.2206, 89.38022
713.7028, 89.14941
714.1849, 89.15697
714.6670, 88.96784
715.1491, 89.56064
715.6312, 89.91601
716.1133, 90.04670
716.5955, 89.27982
717.0776, 89.67197
717.5597, 89.59962
718.0418, 89.50824
718.5239, 90.06353
719.0060, 89.42718
719.4882, 89.97223
719.9703, 90.04567
720.4524, 90.33495
720.9345, 90.15687
721.4166, 90.12314
721.8987, 90.55692
